#fasta1,fasta2,score,opening,extension
sequences/prot-0018.fa,sequences/prot-0198.fa,139.0,-2,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,152.0,-1,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,176.0,-1,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,106.0,-2,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,118.0,-2,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,138.0,-1,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,136.0,-1,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,136.0,-1,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,104.0,-2,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,103.0,-2,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,111.0,-3,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,89.0,-3,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,82.0,-3,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,79.0,-3,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,78.0,-3,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,86.0,-4,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,69.0,-4,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,65.0,-4,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,62.0,-4,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,66.0,-5,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,59.0,-4,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,56.0,-5,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,51.0,-5,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,48.0,-5,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,46.0,-5,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,56.0,-6,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,43.0,-6,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,44.0,-6,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,49.0,-6,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,42.0,-6,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,50.0,-7,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,43.0,-7,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,40.0,-7,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,39.0,-7,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,39.0,-7,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,45.0,-8,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,40.0,-8,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-8,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-8,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-8,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,44.0,-9,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,39.0,-9,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-9,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-9,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,43.0,-10,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-9,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-10,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-10,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-10,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-10,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-11,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,42.0,-11,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-11,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-11,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-11,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,41.0,-12,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-12,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-12,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-12,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-12,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-13,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,40.0,-13,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-13,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-13,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-13,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,39.0,-14,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-14,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-14,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-14,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-14,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-15,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-15,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-15,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-15,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-15,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-16,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-16,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-16,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-16,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-16,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-17,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-17,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-17,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-17,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-17,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-18,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-18,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-18,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-18,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-18,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-19,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-19,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-19,-3
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-19,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-19,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-20,-1
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-20,-2
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-20,-5
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-20,-4
sequences/prot-0018.fa,sequences/prot-0198.fa,38.0,-20,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,137.0,-1,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,103.0,-1,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,108.0,-1,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,100.0,-2,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,120.0,-1,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,114.0,-1,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,113.0,-2,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,93.0,-2,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,82.0,-2,-5
sequences/prot-0035.fa,sequences/prot-0071.fa,84.0,-3,-2
sequences/prot-0035.fa,sequences/prot-0071.fa,87.0,-2,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,95.0,-3,-1
sequences/prot-0035.fa,sequences/prot-0071.fa,76.0,-3,-3
sequences/prot-0035.fa,sequences/prot-0071.fa,71.0,-3,-4
sequences/prot-0035.fa,sequences/prot-0071.fa,68.0,-3,-5
