#gap_opening=-7
#gap_extension=-3
#fasta1,fasta2,score,norm_score
sequences/prot-0098.fa,sequences/prot-0102.fa,28.0,0.6511627906976745
sequences/prot-0065.fa,sequences/prot-0069.fa,50.0,0.6024096385542169
sequences/prot-0166.fa,sequences/prot-0177.fa,45.0,0.4639175257731959
sequences/prot-0031.fa,sequences/prot-0034.fa,67.0,0.6320754716981132
sequences/prot-0170.fa,sequences/prot-0173.fa,36.0,0.4
sequences/prot-0047.fa,sequences/prot-0050.fa,69.0,0.5702479338842975
sequences/prot-0175.fa,sequences/prot-0178.fa,39.0,0.42857142857142855
sequences/prot-0004.fa,sequences/prot-0008.fa,63.0,0.44366197183098594
sequences/prot-0240.fa,sequences/prot-0242.fa,54.0,0.5242718446601942
sequences/prot-0187.fa,sequences/prot-0190.fa,81.0,0.81
sequences/prot-0077.fa,sequences/prot-0082.fa,87.0,0.5878378378378378
sequences/prot-0326.fa,sequences/prot-0327.fa,113.0,1.1414141414141414
sequences/prot-0298.fa,sequences/prot-0300.fa,67.0,0.5114503816793893
sequences/prot-0357.fa,sequences/prot-0360.fa,42.0,0.28187919463087246
sequences/prot-0354.fa,sequences/prot-0355.fa,44.0,0.25142857142857145
sequences/prot-0271.fa,sequences/prot-0275.fa,69.0,0.3812154696132597
sequences/prot-0465.fa,sequences/prot-0466.fa,91.0,0.5055555555555555
sequences/prot-0369.fa,sequences/prot-0370.fa,75.0,0.30120481927710846
sequences/prot-0484.fa,sequences/prot-0485.fa,95.0,1.2179487179487178
sequences/prot-0459.fa,sequences/prot-0461.fa,72.0,0.3673469387755102
sequences/prot-0410.fa,sequences/prot-0412.fa,98.0,0.3951612903225806
sequences/prot-0507.fa,sequences/prot-0509.fa,53.0,0.33544303797468356
sequences/prot-0384.fa,sequences/prot-0392.fa,97.0,0.313915857605178
sequences/prot-0580.fa,sequences/prot-0615.fa,47.0,0.32413793103448274
sequences/prot-0380.fa,sequences/prot-0384.fa,95.0,0.296875
sequences/prot-0582.fa,sequences/prot-0586.fa,55.0,0.4230769230769231
sequences/prot-0570.fa,sequences/prot-0572.fa,64.0,0.3076923076923077
sequences/prot-0583.fa,sequences/prot-0598.fa,61.0,0.4066666666666667
sequences/prot-0124.fa,sequences/prot-0125.fa,101.0,0.3447098976109215
sequences/prot-0584.fa,sequences/prot-0611.fa,46.0,0.24598930481283424
sequences/prot-0586.fa,sequences/prot-0590.fa,66.0,0.5076923076923077
sequences/prot-0590.fa,sequences/prot-0610.fa,76.0,0.6608695652173913
sequences/prot-0533.fa,sequences/prot-0534.fa,94.0,0.29559748427672955
sequences/prot-0594.fa,sequences/prot-0596.fa,58.0,0.3558282208588957
sequences/prot-0595.fa,sequences/prot-0620.fa,51.0,0.29651162790697677
sequences/prot-0597.fa,sequences/prot-0621.fa,46.0,0.38016528925619836
sequences/prot-0587.fa,sequences/prot-0606.fa,63.0,0.3197969543147208
sequences/prot-0600.fa,sequences/prot-0605.fa,51.0,0.40476190476190477
sequences/prot-0602.fa,sequences/prot-0616.fa,54.0,0.46153846153846156
sequences/prot-0605.fa,sequences/prot-0615.fa,55.0,0.4365079365079365
sequences/prot-0614.fa,sequences/prot-0616.fa,120.0,0.9375
sequences/prot-0829.fa,sequences/prot-0832.fa,78.0,1.8571428571428572
sequences/prot-0860.fa,sequences/prot-0862.fa,70.0,1.5909090909090908
sequences/prot-0659.fa,sequences/prot-0661.fa,45.0,0.3488372093023256
sequences/prot-0589.fa,sequences/prot-0591.fa,90.0,0.3813559322033898
sequences/prot-0592.fa,sequences/prot-0601.fa,68.0,0.2821576763485477
sequences/prot-0609.fa,sequences/prot-0611.fa,76.0,0.40641711229946526
sequences/prot-0776.fa,sequences/prot-0779.fa,277.0,1.7756410256410255
sequences/prot-0361.fa,sequences/prot-0364.fa,106.0,0.34415584415584416
sequences/prot-0735.fa,sequences/prot-0736.fa,114.0,0.3665594855305466
